what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346658010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346659203
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1347346659326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346662064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346664848
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1347346665657
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347346669460
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1347346671879
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1347346672193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346672624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346736285
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347346737174
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1347346738680
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347346739874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346748205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346838946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346841772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346865532
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347346867223
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1347346869659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346870489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346874595
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1347346874665
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347346875507
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1347346877620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346878008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346882412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346883777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346885467
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347346886269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346888314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346913834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346919281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347346922537
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347346931138
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1347346933687
